NOMGARE;PAYS;VILLEDESSERVIE;X;Y;TGV
Angoulême;France;Angouleme;45,65393498;0,16452848;OUI
Angoulins;France;Angoulins;46,10818102;-1,10992492; 
Anizy-le-Château;France;Anizy-le-Chateau;49,49586412;3,44841696; 
Annecy;France;Annecy;45,90269469;6,1224697;OUI
Annemasse;France;Annemasse;46,19951843;6,23638244;OUI
Annonay;France;Annonay;45,242387;4,670412; 
Anor;France;Anor;49,98497429;4,09276512; 
Anse;France;Anse;45,94466406;4,715897; 
Anstaing;France;Anstaing;50,60389065;3,19346721; 
Antibes;France;Antibes;43,58587476;7,11941198;OUI
Antignac;France;Antignac;42,82608181;0,59946447; 
Antist;France;Antist;43,11504861;0,11995938; 
Antony;France;Antony;48,74800845;2,31269457; 
Anvin;France;Anvin;50,44575417;2,25844254; 
Anzeling;France;Anzeling;49,26239529;6,45953054; 
Aouste-sur-Sye;France;Aouste-sur-Sye;44,70989107;5,05991504; 
Apach;France;Apach;49,45894465;6,37236346; 
Appilly;France;Appilly;49,58046886;3,12112493; 
Arbanats;France;Arbanats;44,6743895;-0,39565341; 
Arbois;France;Arbois;46,91242459;5,76476652; 
Arcachon;France;Arcachon;44,6585777;-1,16471656;OUI
Arçay;France;Arcay;46,97164767;0,01117933; 
Arc-et-Senans;France;Arc-et-Senans;47,02997569;5,77732549; 
Arches;France;Arches;48,1203454;6,52681534; 
Arcy-sur-Cure;France;Arcy-sur-Cure;47,60087442;3,76688347; 
Ardres;France;Ardres;50,89208135;1,97104473; 
Arengosse;France;Arengosse;44,00675774;-0,80988833; 
Argelès-Gazost;France;Argeles-Gazost;43,00101348;-0,09937607; 
Argelès-Sur-Mer;France;Argeles-Sur-Mer;42,54395093;3,02150018;
Argentan;France;Argentan;48,73845947;-0,02572377;
Argenteuil;France;Argenteuil;48,9471291;2,25731496; 
Argenton Sur Creuse;France;Argenton Sur Creuse;46,59216719;1,5189231;
Arlanc;France;Arlanc;45,41305837;3,72893941; 
Arles;France;Arles;43,6845894;4,63213253;OUI
Arleux;France;Arleux;50,28646003;3,12118419; 
Armentieres;France;Armentieres;50,68042307;2,87778381; 
Armentières-en-Brie;France;Armentieres-en-Brie;48,99813425;3,00753937; 
Arnac-Pompadour;France;Arnac-Pompadour;45,39562295;1,38707316; 
Arnage;France;Arnage;47,92844086;0,18994415; 
Arnèke;France;Arneke;50,83173248;2,40825198; 
Arpajon;France;Arpajon;48,58613779;2,24047091; 
Arques-la-Bataille;France;Arques-la-Bataille;49,8804318;1,13444285; 
Arras;France;Arras;50,28667802;2,78195166;OUI
Arreau;France;Arreau;42,90571372;0,35687488; 
Arrou;France;Arrou;48,1004996;1,12919479; 
Ars-sur-Moselle;France;Ars-sur-Moselle;49,07446796;6,07845514; 
Artenay;France;Artenay;48,08094823;1,88301664; 
Artix;France;Artix;43,39296485;-0,57011174; 
Arudy;France;Arudy;43,10356182;-0,43453875; 
Arvant;France;Arvant;45,36399228;3,31010583; 
Arzviller;France;Arzviller;48,72377218;7,18803483; 
Aspres-sur-Buëch;France;Aspres-sur-Buech;44,5190372;5,75469711; 
Assat;France;Assat;43,25463067;-0,29522162; 
Assier;France;Assier;44,67555;1,8769364; 
Assier quicky.model.Gare;France;Assier ;44,67391267;1,87042064; 
Astaffort;France;Astaffort;44,06679018;0,65116051; 
Athis-Mons;France;Athis-Mons;48,71294688;2,40372735; 
Aubagne;France;Aubagne;43,29606591;5,56631625;
Aubazines;France;Aubazines;45,18176406;1,64172512; 
Aubenas;France;Aubenas;44,6121818;4,3924024;
Aubergenville;France;Aubergenville;48,97186293;1,84767854; 
Aubiat;France;Aubiat;45,98401484;3,16029871; 
Aubie-et-Espessas;France;Aubie-et-Espessas;45,01506011;-0,41969538; 
