NOMGARE;PAYS;VILLEDESSERVIE;X;Y;TGV
Dercy;France;Dercy;49,70273145;3,69203573; 
Dettwiller;France;Dettwiller;48,7517109;7,46541705; 
Deuil-la-Barre;France;Deuil-la-Barre;48,97560761;2,33777343; 
Deûlémont;France;Deulemont;50,71642128;2,99379385; 
Deville;France;Deville;49,87954677;4,70701824; 
Diarville;France;Diarville;48,39784201;6,126318; 
Die;France;Die;44,75813143;5,36293671; 
Diemeringen;France;Diemeringen;48,94103614;7,18478124; 
Dieppe;France;Dieppe;49,91678976;1,08116874;
Dieulouard;France;Dieulouard;48,8437441;6,0712765; 
Dieupentale;France;Dieupentale;43,8650748;1,27612269; 
Digne;France;Digne;44,08894516;6,2226012; 
Digoin;France;Digoin;46,48525336;3,98800394; 
Dijon;France;Dijon;47,3232021;5,02744181;OUI
Dinan;France;Dinan;48,45696572;-2,05298679; 
Dingé;France;Dinge;48,35012853;-1,6858403; 
Diou;France;Diou;46,53073672;3,75249394; 
Dirinon;France;Dirinon;48,39259368;-4,28559593; 
Dissay;France;Dissay;46,70373169;0,42113105; 
Distroff;France;Distroff;49,33511922;6,26020464; 
Dives - Cabourg;France;Dives-sur-Mer;49,286684;-0,107655; 
Divonne-les-Bains;France;Divonne-les-Bains;46,33477646;6,11634448; 
Docelles;France;Docelles;48,14340447;6,61027103; 
Dol-de-Bretagne;France;Dol-de-Bretagne;48,54297584;-1,75046978;OUI
Dole;France;Dole;47,09641829;5,48795924;OUI
Dombasle-sur-Meurthe;France;Dombasle-sur-Meurthe;48,62334236;6,34352824; 
Domblans;France;Domblans;46,76103227;5,59762555; 
Domfront-en-Champagne;France;Domfront-en-Champagne;48,10775408;0,02601435; 
Domgermain;France;Domgermain;48,64553159;5,83579457; 
Dommartin;France;Dommartin;45,84799347;4,73202081; 
Dommartin-lès-Cuiseaux;France;Dommartin-les-Cuiseaux;46,50033792;5,30197475; 
Dommary-Baroncourt;France;Dommary-Baroncourt;49,2845213;5,69967575; 
Domont;France;Domont;49,03286848;2,33784234; 
Dompierre-sur-Besbre;France;Dompierre-sur-Besbre;46,52642363;3,67533359; 
Dompierre-sur-Helpe;France;Dompierre-sur-Helpe;50,14620287;3,87138749; 
Don;France;Don;50,54869382;2,90745097; 
Donchery;France;Donchery;49,6981191;4,87456569; 
Donges;France;Donges;47,30884357;-2,07253355; 
Donjeux;France;Donjeux;48,36595347;5,14840595; 
Donzère;France;Donzere;44,44277621;4,70455473; 
Dordives;France;Dordives;48,14764407;2,76250782; 
Dore-l'Église;France;Dore-l'Eglise;45,84329428;3,49026945; 
Dorlisheim;France;Dorlisheim;48,52428849;7,49281928; 
Dormans;France;Dormans;49,07925068;3,64172773; 
Douai;France;Douai;50,3719507;3,09041443;OUI
Doudeville;France;Doudeville;49,72027618;0,77458276; 
Douelle;France;Douelle;44,47108687;1,35986217; 
Dourdan;France;Dourdan;48,53353237;2,01013415; 
Dourges;France;Dourges;50,43152724;2,985783; 
Douzillac;France;Douzillac;45,07935655;0,41701856; 
Drancy;France;Drancy;48,93250206;2,45612788; 
Drap;France;Drap;43,75961099;7,31680504; 
Drefféac;France;Dreffeac;47,48235173;-2,05002988; 
Dreuil-lès-Amiens;France;Dreuil-les-Amiens;49,91513227;2,22809412; 
Dreux;France;Dreux;48,73121673;1,37061947; 
Drusenheim;France;Drusenheim;48,76597734;7,94747887; 
Druye;France;Druye;47,30678837;0,53546694; 
Duault;France;Duault;48,36417626;-3,47668452; 
Dunières;France;Dunieres;45,21202155;4,34917654; 
Dunkerque;France;Dunkerque;51,03020514;2,36810417;OUI
Duppigheim;France;Duppigheim;48,54406688;7,58709434; 
Duravel;France;Duravel;44,50532466;1,07955594; 
Durtol;France;Durtol;45,79540943;3,04882846; 
Duttlenheim;France;Duttlenheim;48,54560316;7,56564716; 
Dyo;France;Dyo;46,35830351;4,2897614; 
Ebblinghem;France;Ebblinghem;50,73085913;2,40880088; 
Ebersheim;France;Ebersheim;48,30880838;7,49268394; 
Ébersviller;France;Ebersviller;49,27481859;6,41134518; 
Échenevex;France;Echenevex;46,29724365;6,05093517; 
Écommoy;France;Ecommoy;47,82400408;0,26939379; 
Écouché;France;Ecouche;48,71494053;-0,12113959; 
Écouen;France;Ecouen;49,02275631;2,36290178; 
Écouflant;France;Ecouflant;47,50370856;-0,51979358; 
Écully;France;Ecully;45,76595823;4,77968557; 
Égletons;France;Egletons;45,40231499;2,0651445; 
Égly;France;Egly;48,58239986;2,22218739; 
Éguelshardt;France;Eguelshardt;49,00458312;7,50219075; 
Éguelshardt;France;Eguelshardt;49,01824343;7,4909744; 
Éguzon-Chantôme;France;Eguzon-Chantome;46,4404265;1,55202769; 
Eichhoffen;France;Eichhoffen;48,38229636;7,44985863; 
Einvaux;France;Einvaux;48,50310951;6,3927474; 
Elne;France;Elne;42,59736926;2,96352068; 
Éloyes;France;Eloyes;48,08622261;6,60031762; 
Emberménil;France;Embermenil;48,61997753;6,70140326; 
Embrun;France;Embrun;44,56685493;6,49625839;
Enchenberg;France;Enchenberg;49,01603257;7,33376313; 
Enghien-les-Bains;France;Enghien-les-Bains;48,97351868;2,30613068; 
Ennevelin;France;Ennevelin;50,54984474;3,1583545; 
Ensuès-la-Redonne;France;Ensues-la-Redonne;43,33436259;5,1978277; 
Entzheim;France;Entzheim;48,54561978;7,62300616; 
Épannes;France;Epannes;46,24485384;-0,5816342; 
Éperlecques;France;Eperlecques;50,82544399;2,20791994; 
Epernay;France;Epernay;49,04652108;3,96020987;
Epernon;France;Epernon;48,60508434;1,68167617; 
Epfig;France;Epfig;48,36354986;7,4497973; 
Épierre;France;Epierre;45,45674992;6,2925306; 
Epinal;France;Epinal;48,17757976;6,44139507;OUI
Épinay-sur-Orge;France;Epinay-sur-Orge;48,66933471;2,33223336; 
Épinay-sur-Seine;France;Epinay-sur-Seine;48,95425024;2,30218499; 
Époisses;France;Epoisses;47,50236632;4,17903839; 
Épône;France;Epone;48,9632876;1,809271; 
Épouville;France;Epouville;49,56679264;0,2242397; 
Éragny;France;Eragny;49,01825478;2,090957; 
Ermont;France;Ermont;48,9812775;2,27062841; 
Err;France;Err;42,44337458;2,0283101; 
Erstein;France;Erstein;48,42286882;7,63813392; 
Ervy-le-Châtel;France;Ervy-le-Chatel;48,0450229;3,92239453; 
Esbly;France;Esbly;48,90314191;2,81059946; 
Escalquens;France;Escalquens;43,5166377;1,54247427; 
Escaudœuvres;France;Escaudœuvres;50,19253913;3,27635725; 
Esches;France;Esches;49,21250568;2,170805; 
Esclanèdes;France;Esclanedes;44,48106846;3,35816874; 
Espéraza;France;Esperaza;42,93581598;2,21802966; 
Esquelbecq;France;Esquelbecq;50,89038377;2,41200745; 
Estavar;France;Estavar;42,46300126;2,01922048; 
Esternay;France;Esternay;48,73088679;3,5619022; 
Estrées-Saint-Denis;France;Estrees-Saint-Denis;49,43993856;2,64114732; 
Esvres;France;Esvres;47,28411917;0,78156136; 
Étain;France;Etain;49,20770691;5,63948151; 
Étalans;France;Etalans;47,15583977;6,2709662; 
Étampes;France;Etampes;48,43684845;2,15899337; 
Étang-sur-Arroux;France;Etang-sur-Arroux;46,868022;4,18367966; 
Étigny;France;Etigny;48,13807628;3,28980484; 
Étival-Clairefontaine;France;Etival-Clairefontaine;48,36666672;6,87702581; 
Étoile-sur-Rhône;France;Etoile-sur-Rhone;44,8464925;4,8654789; 
Étréchy;France;Etrechy;48,49363305;2,19443927; 
Ettendorf;France;Ettendorf;48,80838691;7,58561671; 
Eu;France;Eu;50,05429032;1,41689191; 
Eurville-Bienville;France;Eurville-Bienville;48,58291535;5,04487113; 
Évaux-les-Bains;France;Evaux-les-Bains;46,17006258;2,47950735; 
Évette-Salbert;France;Evette-Salbert;47,68092237;6,8068945; 
Évian-Les-Bains;France;Evian-Les-Bains;46,3975953;6,577137;OUI
Evreux Normandie;France;Evreux;49,01855876;1,14988767;
Evron;France;Evron;48,15546225;-0,39719344; 
Évry;France;Evry;48,63465406;2,45212543; 
Exideuil;France;Exideuil;45,88637297;0,66678773; 
Eygurande;France;Eygurande;45,64576253;2,46500684; 
Eymoutiers Vassiviere;France;Eymoutiers Vassiviere;45,73962094;1,74022897; 
Èze;France;Eze;43,72211602;7,35695492; 
Facture - Biganos;France;Facture - Biganos;44,63737267;-0,96574938;OUI
Falck;France;Falck;49,21880187;6,63362432; 
Famechon;France;Famechon;49,76755445;2,04355132; 
Farbus;France;Farbus;50,35767941;2,83113965; 
Farébersviller;France;Farebersviller;49,11808263;6,86158628; 
Faremoutiers;France;Faremoutiers;48,80857932;2,99327997; 
Farges;France;Farges;46,17660497;5,91343417; 
Farschviller;France;Farschviller;49,08801343;6,90815933; 
Faulquemont;France;Faulquemont;49,04567661;6,60394814; 
Fécamp;France;Fecamp;49,75945993;0,37388767;
Fegersheim;France;Fegersheim;48,49080546;7,67221667; 
Fellering;France;Fellering;47,89732459;6,98728459; 
Felletin;France;Felletin;45,886507;2,16945385; 
Fénétrange;France;Fenetrange;48,84521625;7,02612023; 
Fenouillet;France;Fenouillet;43,68388204;1,4016509; 
Fépin;France;Fepin;50,02373485;4,72574216; 
Fère-en-Tardenois;France;Fere-en-Tardenois;49,20851967;3,50401355; 
Ferques;France;Ferques;50,81618785;1,7718091; 
Ferrières-en-Gâtinais;France;Ferrieres-en-Gatinais;48,09663211;2,77216354; 
Feuquières;France;Feuquieres;49,6544295;1,83115812; 
Feuquières-en-Vimeu;France;Feuquieres-en-Vimeu;50,06484522;1,60490019; 
Feurs;France;Feurs;45,74475417;4,23071293; 
Feyzin;France;Feyzin;45,66607079;4,85307944; 
Figeac;France;Figeac;44,60370252;2,03677357;
Firminy;France;Firminy;45,39166084;4,28552315; 
Fismes;France;Fismes;49,31084992;3,68229247; 
Flavy-le-Martel;France;Flavy-le-Martel;49,71872329;3,19059587; 
Flaxlanden;France;Flaxlanden;47,69843755;7,30425821; 
Flers;France;Flers;48,74437263;-0,57368061;
Flers-en-Escrebieux;France;Flers-en-Escrebieux;50,39803429;3,08485323; 
Fleurance;France;Fleurance;43,85244234;0,65639665; 
Fleurieux-sur-l'Arbresle;France;Fleurieux-sur-l'Arbresle;45,84467836;4,66051433; 
Fleurville;France;Fleurville;46,45084141;4,88408277; 
Flez-Cuzy;France;Flez-Cuzy;47,36288138;3,61512556; 
Flin;France;Flin;48,50481821;6,65970021; 
Flogny-la-Chapelle;France;Flogny-la-Chapelle;47,9378598;3,86650485; 
Foëcy;France;Foecy;47,17619659;2,16177568; 
Foix;France;Foix;42,96965531;1,60698546;
Folligny;France;Folligny;48,82915304;-1,40639963; 
Fons;France;Fons;43,90728676;4,20662979; 
Fontainebleau;France;Fontainebleau;48,41627398;2,7267942; 
Fontaine-Lavaganne;France;Fontaine-Lavaganne;49,59572543;1,95785013; 
Fontaine-le-Port;France;Fontaine-le-Port;48,48710816;2,75322066; 
Fontaine-Notre-Dame;France;Fontaine-Notre-Dame;50,5652956;2,92545746; 
Fontaines;France;Fontaines;46,85128604;4,77499046; 
Fontaines-d'Ozillac;France;Fontaines-d'Ozillac;45,38755762;-0,38396684; 
Fontan;France;Fontan;43,99699447;7,55160755; 
Fontenay le Comte;France;Fontenay le Comte;46,45752274;-0,79325557; 
Fontenay-le-Fleury;France;Fontenay-le-Fleury;48,80716911;2,04075457; 
Fontenay-sous-Bois;France;Fontenay-sous-Bois;48,85415927;2,48916623; 
Fontenoy-sur-Moselle;France;Fontenoy-sur-Moselle;48,7113964;5,97987326; 
Fontoy;France;Fontoy;49,35554021;5,9897571; 
Fontpédrouse;France;Fontpedrouse;42,51387124;2,19010598; 
Font-Romeu-Odeillo-Via;France;Font-Romeu-Odeillo-Via;42,49130655;2,03949607; 
Forbach;France;Forbach;49,1894824;6,90043366;OUI
Forges-les-Eaux;France;Forges-les-Eaux;49,61385292;1,55325903; 
Formerie;France;Formerie;49,65416954;1,72261118; 
Fors;France;Fors;46,23460755;-0,40670841; 
Fos-sur-Mer;France;Fos-sur-Mer;43,42799275;4,97487046; 
Foucart;France;Foucart;49,60831892;0,59692053; 
Fouday;France;Fouday;48,509326;7,179565;
Foug;France;Foug;48,67919986;5,7913199; 
Fougeré;France;Fougere;46,66518734;-1,23195259; 
Fougeres;France;Fougeres;48,35029021;-1,19450759; 
Fouilloy;France;Fouilloy;49,73658795;1,82589426; 
Fouquereuil;France;Fouquereuil;50,52547609;2,60719533; 
Fourchambault;France;Fourchambault;47,01923359;3,08730066; 
Fourmies;France;Fourmies;50,01541362;4,05372952; 
Fours;France;Fours;46,82376777;3,72328039; 
Francheville;France;Francheville;45,73097812;4,77025422; 
Franconville;France;Franconville;48,99355476;2,23498364; 
Franleu;France;Franleu;50,082454;1,6570296; 
Franois;France;Franois;47,22744285;5,93751635; 
Frasne;France;Frasne;46,85784682;6,15768354;OUI
Fréchet-Aure;France;Frechet-Aure;42,92645135;0,36656908; 
Freistroff;France;Freistroff;49,27760018;6,49082317; 
Fréjus;France;Frejus;43,43171319;6,73326793;
Frénouville;France;Frenouville;49,14042335;-0,25844332; 
Frépillon;France;Frepillon;49,04578016;2,19709643; 
Fresnoy-le-Grand;France;Fresnoy-le-Grand;49,95013653;3,43259744; 
Fressenneville;France;Fressenneville;50,06338412;1,58896784; 
Fréteval;France;Freteval;47,89203209;1,2118704; 
Fretin;France;Fretin;50,56106205;3,14839793; 
Frévin-Capelle;France;Frevin-Capelle;50,34723035;2,63451002; 
Frohmuhl;France;Frohmuhl;48,90775976;7,27826747; 
Fromental;France;Fromental;46,17130268;1,4324633; 
Fromentine La Barre de Monts;France;Fromentine La Barre de Monts;46,89105;-2,139825;
Froncles;France;Froncles;48,29665305;5,14158852; 
Frontenac;France;Frontenac;44,53862376;1,96808909; 
Frontenaud;France;Frontenaud;46,54678994;5,28551618; 
Frontenex;France;Frontenex;45,630594;6,3143066; 
Frontignan;France;Frontignan;43,44458609;3,75901488; 
Fronville;France;Fronville;48,40136118;5,15602343; 
Frouard;France;Frouard;48,75534802;6,14468378; 
Fumay;France;Fumay;49,98621208;4,69199014; 
Fumel;France;Fumel;44,49459077;0,96651354; 
Futuroscope TGV (à 11km de Poitiers);France;Futuroscope - quicky.model.Gare TGV;46,67021673;0,37810374;OUI
Gagny;France;Gagny;48,88348556;2,52646805; 
Gaillac;France;Gaillac;43,90611392;1,89440768; 
Gaillefontaine;France;Gaillefontaine;49,52803578;0,25135009; 
Gaillon;France;Gaillon;49,17466899;1,35262651; 
Galiax;France;Galiax;43,60944196;0,01440534; 
Galié;France;Galie;42,9897951;0,62536466; 
Gallargues-le-Montueux;France;Gallargues-le-Montueux;43,71600988;4,1710399; 
Gambsheim;France;Gambsheim;48,69494062;7,87891999; 
Gan;France;Gan;43,23428466;-0,39148894; 
Gandrange;France;Gandrange;49,26089134;6,13579371; 
Gannat;France;Gannat;46,09743576;3,20488011; 
Gannes;France;Gannes;49,57210166;2,43702308; 
Gap;France;Gap;44,56362377;6,08538931;
Garancières;France;Garancieres;48,81039443;1,76470758; 
Garches;France;Garches;48,83797442;2,18667035; 
Garchizy;France;Garchizy;47,04304772;3,08585641; 
Gardanne;France;Gardanne;43,45636286;5,46346483; 
Gardonne;France;Gardonne;44,83467736;0,33193941; 
Gargenville;France;Gargenville;48,98305819;1,80920576; 
Garges-lès-Gonesse;France;Garges-les-Gonesse;48,97684473;2,39082416; 
Gauriaguet;France;Gauriaguet;45,0543042;-0,39930201; 
Gazeran;France;Gazeran;48,62595883;1,77084315; 
Gazinet Cestas;France;Gazinet Cestas;44,77219575;-0,69914761; 
Geispolsheim;France;Geispolsheim;48,5219189;7,68537029; 
Gelles;France;Gelles;45,7637974;2,82797706; 
Gemeaux;France;Gemeaux;47,47780316;5,1300778; 
Genech;France;Genech;50,52844532;3,22096119; 
Génelard;France;Genelard;46,58086397;4,23766438; 
Générac;France;Generac;43,7329748;4,34414538; 
Genlis;France;Genlis;47,24448705;5,22386911; 
Gennevilliers;France;Gennevilliers;48,93337537;2,30746428; 
Génolhac;France;Genolhac;44,3480183;3,95182223; 
Germaine;France;Germaine;49,12794211;4,02249493; 
Gertwiller;France;Gertwiller;48,41329473;7,46591086; 
Gerzat;France;Gerzat;45,83331699;3,14309772; 
Gestel;France;Gestel;47,80310255;-3,4433654; 
Gevrey-Chambertin;France;Gevrey-Chambertin;47,22739696;4,99878958; 
Gex;France;Gex;46,32051654;6,05784052; 
Giat;France;Giat;45,79626799;2,47236633; 
Gien;France;Gien;47,69888288;2,63675237;
Gières;France;Gieres;45,18406513;5,78126704; 
Gièvres;France;Gievres;47,27878311;1,66766605; 
Gignac;France;Gignac;45,01474038;1,48325356; 
Gilley;France;Gilley;47,05045621;6,49255166; 
Gilly-sur-Loire;France;Gilly-sur-Loire;46,53725789;3,7820815; 
Gimont;France;Gimont;43,63318196;0,86758354; 
Gironde-sur-Dropt;France;Gironde-sur-Dropt;44,58333813;-0,09246588; 
Gisors;France;Gisors;49,28525735;1,78503463; 
Givet;France;Givet;50,14025278;4,81793944; 
Givors Ville;France;Givors Ville;45,58536819;4,76624281; 
Glos-sur-Risle;France;Glos-sur-Risle;49,27361111;0,68186338; 
Golfech;France;Golfech;44,11619221;0,85382082; 
Goncelin;France;Goncelin;45,34204035;5,97384426; 
Gonfaron;France;Gonfaron;43,31728744;6,28181876; 
Gorges;France;Gorges;47,10778688;-1,31374776; 
Goudargues;France;Goudargues;44,22829631;4,01069017; 
Gourdon;France;Gourdon;44,74181022;1,38954212;
Gournay-en-Bray;France;Gournay-en-Bray;49,48156352;1,73811135; 
Goussainville;France;Goussainville;49,02404032;2,46349844; 
Gouttières;France;Gouttieres;46,0794206;2,78954099; 
Grâces;France;Graces;48,55991896;-3,16610693; 
Gragnague;France;Gragnague;43,69579509;1,56756746; 
Gramat;France;Gramat;44,77282164;1,72352714; 
Grande-Synthe;France;Grande-Synthe;51,00229841;2,31214761; 
Grande-Synthe;France;Grande-Synthe;50,99690501;2,29305608; 
Grandvilliers;France;Grandvilliers;49,65930416;1,93882535; 
Granges-Narboz;France;Granges-Narboz;46,88577497;6,31624331; 
Granville;France;Granville;48,83884408;-1,58677824;
Grasse;France;Grasse;43,65384391;6,92676922; 
Gravelines;France;Gravelines;50,97848895;2,12593163; 
Gray;France;Gray;47,44867731;5,55889847; 
Grémonville;France;Gremonville;49,65222437;0,83321067; 
Grenade-sur-l'Adour;France;Grenade-sur-l'Adour;43,77749066;-0,42488085; 
Grendelbruch;France;Grendelbruch;48,43259466;7,47870451; 
Grenoble;France;Grenoble;45,19165481;5,71413378;OUI
Gresswiller;France;Gresswiller;48,532999;7,42466485; 
Grésy-sur-Aix;France;Gresy-sur-Aix;45,72425422;5,92180641; 
Grésy-sur-Isère;France;Gresy-sur-Isere;45,5944638;6,25865735; 
Gretz-Armainvilliers;France;Gretz-Armainvilliers;48,74535336;2,72858052; 
Grigny;France;Grigny;48,65117284;2,39397567; 
Grilly;France;Grilly;46,32288358;6,0898674; 
Grisolles;France;Grisolles;43,82671684;1,30258028; 
Groisy;France;Groisy;46,01053103;6,17492872;OUI
Groslay;France;Groslay;48,98473669;2,35433563; 
Guchan;France;Guchan;42,8496194;0,34620649; 
Guchen;France;Guchen;42,86489126;0,33837636; 
Gudmont-Villiers;France;Gudmont-Villiers;48,33745305;5,14083118; 
Guémené-Penfao;France;Guemene-Penfao;47,69919619;-1,87028883; 
Guérard;France;Guerard;48,81043108;2,95460099; 
Gueret;France;Gueret;46,17410208;1,8793905; 
Guéthary;France;Guethary;43,42538402;-1,61013425; 
Guichen;France;Guichen;47,93417771;-1,76068333; 
Guignicourt;France;Guignicourt;49,43545035;3,96077204; 
Guillerval;France;Guillerval;48,3752633;2,06075744; 
Mont-Dauphin;France;Guillestre;44,67404737;6,61558495;
Guimiliau;France;Guimiliau;48,48498709;-3,99891657; 
Guingamp;France;Guingamp;48,55553565;-3,14271633;OUI
Gujan Mestras;France;Gujan Mestras;44,64050597;-1,06934786;
Gundershoffen;France;Gundershoffen;48,90537592;7,65310304; 
Gunsbach;France;Gunsbach;48,04158047;7,17486874; 
Habsheim;France;Habsheim;47,73758875;7,41793588; 
Hagondange;France;Hagondange;49,25676935;6,16445766; 
Haguenau;France;Haguenau;48,81343348;7,78237122;
Halsou;France;Halsou;43,37821903;-1,42823126; 
Ham;France;Ham;49,73952636;3,07051505; 
Ham-en-Artois;France;Ham-en-Artois;50,59105739;2,46587; 
Hangest-en-Santerre;France;Hangest-en-Santerre;49,98219565;2,06644918; 
Harfleur;France;Harfleur;49,51328854;0,19832531; 
Harfleur;France;Harfleur;49,506398;0,19232141; 
Hargicourt;France;Hargicourt;49,71375811;2,53164039; 
Hatrize;France;Hatrize;49,1934557;5,90698872; 
Haubourdin;France;Haubourdin;50,60707768;2,99048359; 
Haussignémont;France;Haussignemont;48,72155404;4,752511; 
Hautmont;France;Hautmont;50,25379503;3,91548766; 
Hayange;France;Hayange;49,33051398;6,07365187; 
Haybes;France;Haybes;50,01173961;4,7039086; 
Hazebrouck;France;Hazebrouck;50,72514156;2,54162562;OUI
Hèches;France;Heches;43,02100736;0,37134695; 
Heiligenberg;France;Heiligenberg;48,52748949;7,38150061; 
Heilles;France;Heilles;49,3403671;2,2729673; 
Heilly;France;Heilly;49,94383182;2,53996484; 
Héming;France;Heming;48,69174275;6,97088659; 
Hendaye;France;Hendaye;43,3531569;-1,78210211;OUI
Hénin-Beaumont;France;Henin-Beaumont;50,41610336;2,95072879; 
Hennebont;France;Hennebont;47,79893044;-3,28565674; 
Herbitzheim;France;Herbitzheim;49,01356185;7,07965791; 
Herblay;France;Herblay;48,99063826;2,1613321; 
Herchies;France;Herchies;49,487774;2,01060357; 
Hères;France;Heres;43,55341561;-0,00015573; 
Héricourt;France;Hericourt;47,5730745;6,76939928; 
Héricy;France;Hericy;48,44118324;2,75912497; 
Hermes;France;Hermes;49,35410881;2,24136163; 
Herny;France;Herny;49,00409127;6,47769425; 
Herrlisheim-près-Colmar;France;Herrlisheim-pres-Colmar;48,01757298;7,32056299; 
Hesdigneul-lès-Boulogne;France;Hesdigneul-les-Boulogne;50,66082693;1,66720654; 
Hesdin;France;Hesdin;50,37826604;2,03518472; 
Hettange-Grande;France;Hettange-Grande;49,40826711;6,15603391; 
Hiis;France;Hiis;43,1358842;0,09926247; 
Hirson;France;Hirson;49,91432396;4,0843547; 
His;France;His;43,06448062;0,96985142; 
Hochfelden;France;Hochfelden;48,75540106;7,57196074; 
Hœrdt;France;Hœrdt;48,70298142;7,77906814; 
Hoffen;France;Hoffen;48,93124306;7,93300339; 
Holtzheim;France;Holtzheim;48,55551679;7,66266453; 
Hombourg-Budange;France;Hombourg-Budange;49,28250428;6,35063854; 
Hombourg-Haut;France;Hombourg-Haut;49,12616481;6,773391; 
Homécourt;France;Homecourt;49,21822479;5,99798151; 
Houdan;France;Houdan;48,79604115;1,60283401; 
Houdelmont;France;Houdelmont;48,64520104;6,17975809; 
Houlgate;France;Houlgate ;49,29999835;-0,07770865; 
Hundling;France;Hundling;49,10657115;6,97576189; 
Hunspach;France;Hunspach;48,96121049;7,95403608; 
Huriel;France;Huriel;46,37141934;2,47612163; 
Husseren-Wesserling;France;Husseren-Wesserling;47,88974146;6,9978413; 
Hyères;France;Hyeres;43,11239883;6,11313702;OUI
Hymont;France;Hymont;48,27073458;6,14053966; 
Igney;France;Igney;48,64642621;6,80436625; 
Igney;France;Igney;48,27128159;6,39938395; 
Igny;France;Igny;48,73998195;2,23102516; 
Ille-sur-Têt;France;Ille-sur-Tet;42,66848282;2,62464628; 
Illfurth;France;Illfurth;47,67593885;7,26817764; 
Illiers-Combray;France;Illiers-Combray;48,30426109;1,24491344; 
Illkirch-Graffenstaden;France;Illkirch-Graffenstaden;48,53337276;7,69011376; 
Imphy;France;Imphy;46,93324968;3,25936766; 
Ingersheim;France;Ingersheim;48,08863055;7,29740051; 
Ingrandes;France;Ingrandes;46,8748249;0,56951516; 
Ingwiller;France;Ingwiller;48,8717593;7,47680183; 
Isbergues;France;Isbergues;50,6149484;2,46295664; 
Issoire;France;Issoire;45,5448257;3,25412373;
Issou;France;Issou;48,97927735;1,78591186; 
Issoudun;France;Issoudun;46,94784857;1,98492117;
Is-sur-Tille;France;Is-sur-Tille;47,52022809;5,12983281; 
Istres;France;Istres;43,51545148;4,98028897; 
Iteuil;France;Iteuil;46,4851197;0,31876606; 
Itxassou;France;Itxassou;43,32404203;-1,39495283; 
Ivry-sur-Seine;France;Ivry-sur-Seine;48,81309805;2,3925876; 
Iwuy;France;Iwuy;50,2251484;3,3297509; 
Izaux;France;Izaux;43,06059488;0,37098904; 
Janzé;France;Janze;47,95512334;-1,49740973; 
Jarnac Charente;France;Jarnac Charente;45,67128968;-0,1779242; 
Jarrie;France;Jarrie;45,08541513;5,74225624; 
Jatxou;France;Jatxou;43,39144474;-1,44464504; 
Jaunay-Clan;France;Jaunay-Clan;46,68230494;0,38188954; 
Jaux;France;Jaux;49,38645572;2,77720079; 
Jeumont;France;Jeumont;50,29673053;4,08918774; 
Jœuf;France;Jœuf;49,22449404;6,01707623; 
Joigny;France;Joigny;47,97354497;3,39398103;
Joigny-sur-Meuse;France;Joigny-sur-Meuse;49,83337657;4,76697311; 
Joinville;France;Joinville;48,44475013;5,14428738; 
Jonchery-sur-Vesle;France;Jonchery-sur-Vesle;49,2897245;3,81983827; 
Jonquières-Saint-Vincent;France;Jonquieres-Saint-Vincent;43,79690993;4,53250914; 
Jonzac;France;Jonzac;45,43871422;-0,4420025; 
Joué-lès-Tours;France;Joue-les-Tours;47,35419765;0,6680026; 
Jouy;France;Jouy;48,511123;1,55859119; 
Jouy-en-Josas;France;Jouy-en-Josas;48,76474616;2,16375569; 
Juan-les-Pins;France;Juan-les-Pins;43,5707329;7,11078721; 
Jussey;France;Jussey;47,83697972;5,90323256; 
Juvisy-sur-Orge;France;Juvisy-sur-Orge;48,68992816;2,38272228; 
Juziers;France;Juziers;48,99221948;1,84591541; 
Kalhausen;France;Kalhausen;49,03535512;7,12527051; 
Kédange-sur-Canner;France;Kedange-sur-Canner;49,30566901;6,33226757; 
Keskastel;France;Keskastel;48,96514407;7,04901732; 
Kilstett;France;Kilstett;48,67934281;7,85477714; 
Knutange;France;Knutange;49,34219446;6,0420599; 
Kœnigsmacker;France;Kœnigsmacker;49,39660049;6,27386743; 
Kogenheim;France;Kogenheim;48,33875253;7,53462433; 
Kruth;France;Kruth;47,92246896;6,96958406; 
Kuntzig;France;Kuntzig;49,3499129;6,23457087; 
Kurtzenhouse;France;Kurtzenhouse;48,74170895;7,81308537; 
La Bachellerie;France;La Bachellerie;45,1511214;1,16008921; 
La Bassée;France;La Bassee;50,52770107;2,80508925; 
La Bâthie;France;La Bathie;45,63052232;6,44524452; 
La Baule-Escoublac;France;La Baule-Escoublac;47,28866456;-2,38907016;OUI
La Baule-Les-Pins;France;La Baule-Les-Pins;47,28362387;-2,36466727;OUI
La Bernerie-en-Retz;France;La Bernerie-en-Retz;47,08350557;-2,03483892; 
La Bohalle;France;La Bohalle;47,43447423;-0,40096782; 
La Bonneville-sur-Iton;France;La Bonneville-sur-Iton;48,98853873;1,03582084; 
La Bourboule;France;La Bourboule;45,59091237;2,74594139; 
La Bouteille;France;La Bouteille;49,85977175;3,98228878; 
La Bridoire;France;La Bridoire;45,52903994;5,74694182; 
La Brigue;France;La Brigue;44,06238319;7,59971977;
La Brillanne;France;La Brillanne;43,92481569;5,89233047; 
La Broque;France;La Broque;48,4804585;7,21619526; 
La Celle-Saint-Avant;France;La Celle-Saint-Avant;47,01014723;0,59855867; 
La Chaize-le-Vicomte;France;La Chaize-le-Vicomte;46,6767639;-1,28328948; 
La Chapelle-de-Guinchay;France;La Chapelle-de-Guinchay;46,21306089;4,7724769; 
